新闻ID,文本,标签
23,1954 821 974 1935 2332 2405 2764 570 1058 102 132 1781 173 1618 2275 1360 681 2715 2051,1
24,2563 2478 1491 570 2140 2706 2810 1661 2213,2
25,204 2192 681 2558 968 2840 417 1735 2706 1207 2244 1895 1775 259 1546 620 2584 2509 688,3
26,570 1014 1320 2451 926 221 102 2613 926 2660 630 2027,4
27,1600 1600 1491 1203 1866 1950 656,3
28,574 737 313 221 2650 2764 2412 2620 2275 2335 590 2196 1775 1576 1156 1678 238 2166 2564 2108,1
29,1337 2706 1456 634 417 935 444 1243 1337 1091 1688 2250 1323 797 2706 1665 124 2275 228 1866 767 444 1243 1764 120 238 1661 144 1822,3
30,1398 215 2275 228 417 1265 126 559 2361 2558 2788 1042 1680 1288 1754 618 509 102 1583 102 2716,3
31,1681 1225 885 417 2564 327 1532 2274 2213 1935 1827 1098 656 2146 644 422 940 681 678 1487 1320 1313 1360 1947,2
32,1984 2511 1775 259 417 292 1139 102 412 319 965 102 412 319 424 1112 2275 228,3
33,1245 2655 166 1360 1950 656 2764 618 1245 258 1661 2213 1843,3
34,1958 797 259 1546 417 2275 2180 292 1857 422 655 290 2228 102 412 2275 444 1243 2275 228,3
35,1585 164 1022 797 417 2140 1866 2275 228 2004 679 1435 1860 2638 2823,3
36,155 1685 1679 2454 417 2025 535 1609 2228 533 1533 1519 1996 2126 1232 1912 644 422 635 674 2479 2816,2
37,2275 2141 1856 2059 1533 2750 2660 1017 1843 635 2663 674 1251 424 1232 417 2019 1576 148,1
38,1323 2018 102 2213 997 1844 2716 1491 2027 1641 417 2140 2810 2820 1866 148 422 2808 1514 2412,3
39,1025 2275 1042 1521 417 421 1731 587 1475 132 1781 1355 1917 1583 102 2716 1775 259 1546 1926 2507 1554 1143 1355 2304 2472 1935,3
40,1007 1952 1661 2213 1491 2202 132 238 424 102 1156,1
41,2345 2051 1521 1267 1688 2666 204 2192 1437 2454 1978 173 780 1696 1456 681 926 968 204 2192 2706 1546 2354 2820 1541 1728,3
42,680 1484 1531 2135 1661 1127 1872 2739 417 102 535 2660 2671 287 1981 639 2755 2737 1996 1866 424 1193 1859 259,3
43,2621 1952 1902 1554 1958 1360 1077 488 417 457 1958 870 666 1360 1947 2564 1533 292 1917 771 319 298 1265 771 319 1857 422 444 1243 2275 228,3
44,1902 2663 866 1212 940 313 1491 1669 574 245 570 1058 102 2664 1194 2764,1
45,2375 2564 2823 2706 912 1775 758 182 2727 1255 2375 1978 566 2019 963 2642 1700 296 645 122,3
46,2586 1250 1996 2126 424 2832 1491 2284 2435 494 296 589 836 1491 570 2706 1695 2558 2546 2826 1238 2171 1978 173,3
47,2345 1554 1143 495 2299 1267 1552 1981 1859 512 175 295 1642 2737 238 639 2783 1263 1333,3
48,2345 1042 2351 1568 313 1267 1494 1592 590 160 755 1042 827 619 2621 539 126 2064 102 463,1
49,378 935 1987 587 417 292 424 1112 2621 771 319 298 102 771 319 2275 228,3
50,2345 240 1533 1936 1267 457 2176 2213 1491 940 2507 2751 1843,3
51,960 2549 2146 204 2192 2146 1017 1276 630 2205 1193 1491 451 1128 1662 290 1491 989 1268 385 2712 2116 1843,1
52,1245 1156 1521 1126 1978 173 143 178 424 2832 1491 1017 1276 630 2146 533 1533 1519 788 1615 1437 2665 656,2
53,215 538 1431 2506 2524 1682 2192 1695 2558 509 290 1781 1411 2820 2092 218 2528 347 2754 1695 2558 2706 1546 987 1987 2714 1541 1728,4
54,1252 1219 215 2432 663 1775 2660 726 1987 1996 102 2645 176 1491 102 2536 390 2213 997 1917 2716,4
55,102 1576 2793 477 238 1775 1591 2776 102 2005 1888,4
56,1025 2275 987 2508 1609 2354 1487 1404 1648 742 422 2751 1843,3
57,102 2366 2828 1925 2273 911 1299 1780 1058 102 132 1781 2801 1487 1662 2392,3
58,411 1424 2354 417 444 1243 1358 1020 1421 2146 983 2335 590 2146 2493 957 512 370 2155 974 1244 424 1112 444 1243 2275 228,3
59,204 2192 1323 2018 681 2558 635 238 1950 656 926 968 1978 173 1615 1437 2392 1487,3
60,2564 2515 2749 313 688 1126 314 1385 2275 2392 1487 940 942 2764 2202 272 102 1933 1683 2823 1494 1269 573 1857,1
61,1212 279 1555 1268 385 2654 259 246 1722 758 1625 2666 987 1712 1855 1255 1843 2064 915 2655 1866 1535 2411 463,1
62,2250 587 2275 228 417 1787 1360 1043 1765 2275 1996 505 1656 1031 968 2107 707,3
63,1947 148 102 1491 1268 385 590 1914 1025 2275 987 797 2706 1996 2438 1843,3
64,2004 2455 1618 423 1950 656 1491 932 836,3
65,416 745 2564 1533 417 102 535 2564 1533 833 2373 1268 385 1541 1728 2064 2671 463,3
66,2345 132 1781 2109 930 1267 997 1679 102 1554 1143 1203 1360 1731 1194 894 2578 1843,4
67,221 2371 2764 1270 537 102 771 319,1
68,2275 2051 1156 1126 380 102 821 132 1781 2275 509 174 2764 674 1251 1007 2192 359 2070,1
69,1323 2018 681 2558 2801 1487 1857 1421 1491 2140 2810 822 726 2754 1371 1514 2412,3
70,2677 2275 1042 1683 417 2318 132 1987 2546 290 1662 1042 1355 1917 1583 695 2716 1252 1219 215 577 424 231 1007 1251 2213 2304 797 2706 2314 800 604 436 1392 358 1161 2299 588 1315 1978 173,1
71,1025 2275 2546 1683 417 421 1731 132 1781 290 2546 1917 1583 102 2716 421 1731 587 1475 132 1781 290 2546 1917 1583 102 2716,3
72,1392 2192 858 968 417 292 857 2089 1552 1866 2706 1533 102 412 298 102 412 319 424 1112 2275 228,3
73,635 821 102 197 102 1857 422 1491 758 680 2558 537 2371 1255 1568 1842 537 894 2578 102 1843,1
74,1262 1816 2350 1265 1583 1575 1625 726 2546 1031 1491 1268 385 2418 1110 528 684 2706 2810 1843,1
75,1178 2578 2274 1025 2275 681 2749 422 2808 2783 1843,3
76,2345 213 416 2437 1267 132 1781 618 2079 102 1156 1491 1859 1139 1680 1978 1194 2751 1843,1
77,213 532 2027 445 2155 1360 2509 2135 164 1320 2089 2247 1371 512 370 1731 2840 2058 2694 102 1298 2558 336 1437,4
78,213 1345 930 940 1978 2768 228 160 313 1704 1166 1491 2275 1996 1369 2213 1445 1355 1491 1857 1421 1952 2109 1554 182 691 1244 1843,3
79,1312 2808 2392 1487 1491 102 1517 1866 2027 1648 1843,3
80,1636 2823 1917 965 1265 535 1679 1864 755 1042 2810 2532 997 2660 535 2493 1437 737 737 780 1042 2351,1
81,894 2578 302 2730 1843 1996 2213 2304 1669 2660 1022 1491 1007 1532 1722 2510 767 1112,3
82,135 412 1151 1546 422 1866 102 2067 814 1032 1754 2784 102 2716 2764 2558 534 2155 1208 2626 1746 417 1775 2126 688 692 2449 306 2631,1
83,1775 259 1546 2507 331 968 968 2192 204 1693 681 2558 1857 1421 1491 1987 2172 659 2823 678 1487,3
84,2345 1980 1031 319 2437 2318 913 215 1862 1267 2677 2275 587 1475 1404 259 758 229 2842 1255 2751 1843 327 1245 175 1786 2456 2525 1781 1295,3
85,1856 2802 677 1355 424 1193 260 771 1757 517 2712 2116 2634 1333 758 2530 1487 1255,1
86,1863 696 940 1978 444 1243 1665 630 221 2371 1491 2784 102 2663 1695 2558 1310 2509 424 1112 318 1857 422 2275 228,3
87,1238 1222 1781 1295 1268 385 2418 1110 1866 1076 1533 1519 1843 1445 2808 1178 2578 2274 1843,2
88,2345 160 2335 1175 2833 1267 102 1583 102 1583 102 375 1679 2671,3
89,1926 2507 1533 1735 444 1243 2400 912 1521 2342 1775 2067 221 2650,3
90,102 1820 102 1583 2621 319 2764 1661 2371 802 1437 1533 2141 1535,3
91,2051 1156 2722 1121 1126 1025 2275 1109 1487 1268 1400 421 132 1023 1193 102 1156 421 1731 587 132 2213 380 2621 2716 2648 102 2104,3
92,2564 1533 2051 1156 1126 635 2663 2645 176 1298 137 1541 102 1491 102 1662 2392,3
93,915 2404 2089 2532 681 2558 417 1223 1546 2275 228 2224 2573 204 1298 1976 968 1857 1421 1491 2707 935 2335 1812 331 2664 1775 2027 2108,3
94,421 132 2176 2808 457 1245 424 2832 1491 1025 2275 2660 737 2299 102 1735 2706 1567 1661 1857 102 2716,3
95,771 1108 2678 259 417 444 1243 1358 1020 761 1775 2812 292 1857 422 1265 412 2275 2275 228,3
96,2760 860 1222 1840 417 2760 225 1665 124 987 2660 1984 681 968 2155 692 1572 2399 1857 422 1917 1583 102 2716 2275 228,3
97,1775 438 1175 587 1475 1678 126 1140 1918 1532 2536 2479 291 2247 758 1421 2479 742 2236 1255,4
98,2659 674 691 2070 758 102 1103 918 1255 417 1879 1152 2247 1445 2629 1650 1152 1491 102 1369 1360 370 2155,4
99,2564 1533 2051 1156 1126 102 1508 1885 2162 2764 102 357 1445 2205 1193 2213 2784 1968 2716,4
100,2345 2375 1978 2291 2303 1615 1267 2375 1978 2124 630 2832 2124 2064 695 126 102 1212 463,1
101,2345 421 1731 587 1475 1245 313 1267 102 535 1025 2275 258 1532 1905 2831 2031 1491 1100 1292 1437 2332 1641 2820 681 2749,3
102,2240 2284 587 1475 417 292 424 1112 2275 228 102 412 319 298 1917 771 319,3
103,1681 1225 885 417 2677 2140 102 788 238 2166 2664 1141 2146 742 422 570 1365 940 1723 143 178 914 2392,2
104,570 632 302 2140 957 417 2178 677 1863 696 421 1456 1695 2558 1665 124 2275 228 1866 767 444 1243 1981 630 318 2508 175 2375 620 302 2089 1521 2342,3
105,758 102 1517 1926 2507 1255 2442 940 963 1044 530 2025 1475 1073 102 535 1090 1950 1564 1857 2784 102 2716,4
106,126 534 2275 1360 681 1978 173 2405 1665 2067 814 166 210 102 771 319 2660 245 1223 1775 2485 2564 132 1781 2275 1335 1665 1310 2509 2823 2631,1
107,302 113 1665 124 155 1987 912 2399 1435 893 422 1491 602 375 292 893 422 378 2260 700 187 1844 2716 2275 228,3
108,1978 173 424 2832 1491 590 2783 758 940 2507 1255 2530 455 2664 1194 2764,1
109,1025 2275 1491 2422 385 197 1480 1472,3
110,2345 160 2335 1175 2833 1267 102 1583 102 1583 102 375 1679 2671,3
111,1775 1165 552 417 1970 1033 1022 399 234 292 893 422 2275 228 655 2784 2247 1844 2716,3
112,2803 913 2011 160 313 221 2650 2764 1313 132 1775 1987 2146 2318 132 2659 143 1491 2677 2275 587 1475 2658 2507 1929 2155 1843,3
113,1083 168 2755 2802 1517 1077 674 1491 2373 2192 2422 570 2140 1895 2180 501 589 1744 797 2706 2373 2116 758 1354 873 146 1255,3
114,1547 1962 102 2606 102 1148 997 1917 1245 1775 1857 2067 814 2472 1859 1754 2275 674 1251,1
115,2275 726 2329 574 2659 674 2558 1520 876 451 2764 2283 1109 422 2808 858 1276 1491 2027 1641 1455 573 758 1860 1744 1255,1
116,102 2715 221 631 1491 1866 2093 1775 797 2706 2027 1648 1843,4
117,2345 2051 1156 559 1521 1267 2677 2275 1491 1805 2823 851 851 1554 1194 1843,3
118,2763 798 2025 1546 639 537 102 2130 1735 2706 987 2645 176 444 1243 1491 758 2460 910 1466 1060 1255 2110 2294 2712 1683 2764,3
119,2345 2558 1520 1156 1521 1267 1494 1592 1043 1709 755 1042 1857 2392 102 539 126 1917 2730 2064 102 463,1
120,1978 173 1564 1679 102 535 2124 630 102 2810 2532 2812 571 2213 2304 981 215 155 298 2132 2823 1139 940,4
121,204 2192 1554 1143 2801 1978 1662 2392 1491 681 2749 1866 385 949 581 1843,3
122,2345 1175 313 1267 1058 2400 1648 1513 2546 238 2166 1346 2467 1648 2764 1020 175 1421 1679 2706 1533 1680 1978,4
123,204 1693 2342 773 1566 2678 132 1781 1504 1754 940 2660 1747 2116 1212 940 2213 102 319 2317 2539,3
124,422 2808 758 1886 1533 1255 987 102 1077 535 780 2019 554 221 758 833 2373 2082 1255,1
125,102 2815 619 1126 2308 1109 684 102 1642 2213 1491 1222 2558 2146 2486 1747 684 102 2213 2304 2472 1935,1
126,1896 568 435 2749 645 313 2205 1110 1491 444 1243 2189 869 758 2018 2031 1255,3
127,2493 2545 2764 2451 2517 375 2715 1895 915 2639 2660 803 1684 915 1731 2823 2151 2634 2392 1843 1323 2399 785 881 932 1625 2004 296 1239 800 2639 1008 2558,4
128,2051 1156 2722 1121 1126 2810 1775 2757 1445 1978 173 559 2412 424 1993 1491 1251 2141 2275 1069 2808 115 1987,3
129,660 2383 126 1322 1735 1781 1295 1518 1518 2375 1978 1445 2808 2027 1648,1
130,457 737 313 570 1491 412 2663 1043 1708 2456 2187 2274 2375 1978 2027 1648,1
131,1320 1546 1504 2573 788 2823 2631 955 773 587 1475 444 1243 2558 2788 2721 773 1057 472 1475 1073 1130 1360,4
132,635 1512 102 1661 106 1514 190 2810 259 1491 495 1602 197 758 1716 2013 1255 1445 907 1025 102,3
133,1681 1225 885 417 999 842 120 2741 1144 788 238 2166 2664 1141 2146 1533 1996 914 143 178 1100 1069 2808 1662 2392,2
134,1780 2276 2832 2124 2354 2820 1112 2757 2569 2768 2360 2768 1818 1754 2167 509 298 574 2823 2671 2360 457 2823,3
135,471 1491 1595 258 1228 1866 1669 2671 2663 444 1243,3
136,742 422 836 1487 143 178,3
137,2345 2537 2705 2437 1223 2558 1554 102 1267 1781 1295 221 1437 2189 869 287 538 1491 1330 1679 1700 2484 1066 968 2783 963 2642 221 1531,1
138,2345 1554 1143 1914 1297 1267 1775 259 1546 2507 902 737 2329 1269 422 2808 1857 1421 1491 1408 670 2475 259 2820 1360 1947 2027 2108,3
139,1533 1996 1203 1223 1775 1987 1491 290 174 1249 102 997 574 539 126 2213 102 1583 102 2716,2
140,1688 2666 204 2192 1437 2454 1978 173 780 1696 1456 681 1491 204 2192 681 2558 2427 2664 1775 2027 2108,3
141,1681 1225 885 417 1262 1816 2350 484 847 1834 2570 311 2031 2146 1533 1996 1700 1751 2356 2642 296 2390 2274 2213,2
142,2333 1077 204 1976 417 1358 1020 1421 974 1244 444 1243 1139 102 412 319 965 1917 771 319 424 1112 2275 228,3
143,1968 539 1494 1442 1212 1491 2768 821 260 771 319 570 1058 102 2830 1731,1
144,1103 338 2510 174 902 2169 1491 949 581 1514 2392,3
145,1844 1583 2383 412 771 319 1695 2558 535 1533 2275 1491 1547 2656 1533 2810 2532 2196 1987 1650 1194 102 1583 102 2716,1
146,635 2663 434 1695 974 1935 758 750 1765 1255 1669 574 1932 2236 1129 1648,4
147,1025 2275 468 247 290 2546 102 1583 102 2716,3
148,1661 2213 2446 2784 2677 2275 2764 102 535 290 1386 2247 1445 1491 259 2790 182 1642 102 535 1990 1978 681 2749,3
149,2345 534 2721 2592 1950 2263 1267 618 1017 535 2041 797 2706 1535 1950 2275 987 656 1625 2027 2751 1843,1
150,1550 169 1775 700 780 1696 2546 1144 2764 1161 2611 2140 534 1765 1996 412 319 2660 334 2051 2013 1100 1404 1438 2660 1122,3
151,272 1494 270 1134 611 2400 912 132 182 293 2485 424 1112 2275 228 2508 175 2107 707 318 767 370,3
152,2677 1291 1630 1244 1409 1648 1244 2688 1397 776 1765 1491 1025 2275 1614 2213 681 2749 385 1625 2084 2664 1843,3
153,2345 1245 313 1267 102 2715 1550 1007 1655 2764 1268 385 2274 102 797 2706 2027 1648,4
154,1775 2757 2094 126 2764 1780 2276 1985 1978 1775 336 2820,3
155,102 1323 2399 444 1243 102 258 1895 1212 327 2373 2116 2546 1360 120 1731 2810 102 2645 176,4
156,1884 1239 1752 417 444 1243 1564 2399 535 1965 2638 2823 102 1044 2297 1320 1139 1239 2297 1494 404 2027 2645 176 1130 1360 1747 2116,3
157,2140 1907 512 2275 417 655 2153 689 444 1243 2275 228 1996 2126 221 1437 1866 175 1453 968 987 1216 385 1412 2043,3
158,2564 1533 2335 590 842 424 2622 1126 968 2192 204 1693 1861 2507 1249 2176 535 618 509 1491 2810 259 2247 1828 1194 2751 1843,3
159,132 1781 1312 2808 1662 290 1491 1496 283 1388 700 2801 1978 2205 1193 1491 989 1268 385 2712 2116 1843,1
160,204 2192 681 2558 102 535 1947 148 417 1437 2454 1978 173 1895 1775 259 1546 1680 1978 926 968 681 2558 336 2574,3
161,1430 1602 1077 417 102 535 318 1025 2275 1866 148 1312 2808 327 2130 1990 1978 681 2749,3
162,2345 2677 2275 1245 1521 1267 509 1409 1564 1679 1193 154 1491 1978 173 1069 2808 940 2213,3
163,2760 697 259 1546 417 1007 755 2840 204 1693 238 1661 166 210 1491 1475 1073 1360 2509 1648 1595 258 1513 2546,3
164,102 424 1232 758 1057 1321 1255 1776 2441 2107 169 417 660 1169 424 1042 2247 1216 385 2597 1747 2275 625,4
165,1914 1297 758 1859 422 2808 1360 1947 302 1409 1102 1383 132 182 1255 1215 2390 1544 1783 790 417 102 1360 1947 1328 1371 615,3
166,2512 1862 913 1003 370 2394 2475 259 1007 1655 983 1852 417 570 2140 1331 2412 911 1299 2422 1007 1655 1130 1360 1223 1775 570 2639,4
167,1437 2019 2564 2515 2196 175 2639 987 1945 616 1866 1538 2525 1843,1
168,102 272 2299 1678 968 2192 204 1693 1007 535 678 1487 1576 2793 417 2275 1996 2213 1355 2307 1445 987 1731 2718 1625 2412,3
169,1139 758 1805 1533 1496 1592 1255 424 313 797 2706 2314 444 1243 1420 1299 570 1679 2141 1535 758 213 1987 967 1255,3
170,1996 2126 1223 1903 1001 1775 1987 1445 1491 1268 385 2274 2484 422 2808 2783,2
171,376 2554 315 1531 888 933 1316 2027 370 1360 1437,4
172,1996 987 1365 1888,3
173,2126 2192 1462 618 1334 2386 1533 797 2634 564 2422 2275 444 1243,1
174,1203 2084 175 295 1625 2774 2764 436 1392 358 1648 720 758 2471 2663 1255 987 2447 147 818 1965 2751 1413,3
175,1025 2275 1161 2299 2754 1680 2373 590 1541 1728 2755 2666 1843 2712 2116 2250 1244 2664 1194 2764,3
176,166 2449 2764 1025 2275 421 1731 587 1475 579 1270 1953 2205 2764 1360 1731 894 2578 1194 1843,3
177,951 2169 2335 1360 417 292 974 1935 1418 1818 758 102 2450 921 102 1255 1828 209 327 1409 1491 2383 126 1968 1212 1513 2546 422 1866 2155 1648 1244,1
178,457 821 587 1223 102 1291 1929 2275 2124 1861 2484 1360,1
179,758 260 771 1966 397 1251 1255 2009 1080 1022 797 2375 102 2067 814 1223 1775 1987,1
180,2677 1291 1630 646 1707 655 968 1491 1978 173 258 1268 385 1232 1609 1843,2
181,570 213 1813 2390 166 423 758 2512 619 1255 1987 912 2744 2167 1857 635,1
182,102 1662 2392 2213 380 1265 2716 1491 2826 742 302 1409 2213 311,4
183,238 1775 2442 1043 102 771 987 421 2191 1491 618 2660 1122 639 1178 2578 1662 1843,3
184,421 1731 204 935 2768 1190 587 1127 2663 1496 2001 417 1533 1735 2247 1371 512 370 1232 2089 1731 2840 1700 1866 2557 1661 1360 1947 1766 2666,4
185,2345 1801 1260 2437 1267 1642 1355 1491 296 639 1786 1544 987 577 1156 534 1080 1843,3
186,674 1251 2275 444 1243 1929 2192 1552 1112 1086 1333 1421 287 1541 1728 1625 2027 2084 2664,1
187,597 1315 751 2512 1038 1947 1491 1883 102 965 485 2768 1853 1704 2508 2764,4
188,2706 1533 677 114 635 821 213 1752 1683 2485 2564 102 939 1783 2407 1996,1
189,2638 1194 2764 166 858 1950 1766 2764 2213 2660 1952 1203 893 422 1843,4
190,1681 1225 885 417 1781 1295 2594 520 1514 2356 2642 949 581 2146 1844 1713 175 1044 1700 1866 940 681,2
191,758 102 2475 376 1255 1320 2247 2247 1371 512 370 2172 659 379 2373 2783 1521 2545,4
192,1388 644 1564 1818 1533 370 2299 221 830 1491 102 2606 102 1148 1661 2213 2784 1844 2716,3
193,1952 124 2622 2397 417 681 2749 1662 2084 1538 1194 1843,3
194,2427 2664 1661 1550 1360 1491 102 209 821 2508 175 102 1017 1212 983 2823 1494 2784 102 771 319,3
195,2345 1265 126 2564 1533 126 313 1267 1223 1533 2373 302 1775 259 1546 1926 2507,3
196,1952 2197 1388 1790 417 1358 1020 1421 974 1244 1139 102 412 319 965 102 412 319 424 1112 2275 228,3
197,644 2690 2820 1914 1201 472 1491 2754 2299 577 385,3
198,314 1385 2146 858 1037 1642 2213 1491 2155 1747 2475 259 1661 2536 390 1491 989 1268 385 2712 2116 1843,1
199,894 2578 2041 102 2275 1491 640 1866 1538 2525 2354 1487 1843,1
200,1595 2797 1802 2019 1245 1679 1965 1251 1491 2803 913 2011 1564 2545 102 535 1700 2638 2823 102 2716 1857 1421,3
201,380 102 771 2764 535 534 1335 1665 2141 1535,1
202,102 1618 2007 1661 1648 2278 126 2383 1212 2546 2785 2660 758 1987 1255 1954 758 2768 1255 2274 1156 635,4
203,2375 1978 2124 630 1700 1802 2228 1866 1950 1504 2573,1
204,2493 1656 1987 113 1269 1360 1947 681 968 570 2140 2450 2820 102 535 2493 1437 1098 656 2335 634 2558 1520,4
205,1831 741 1860 2375 417 424 1144 1781 1269 102 1681,1
206,302 215 724 1380 687 2074 417 2747 681 2757 2569 1161 1514 190 1491 1978 173 2427 2664 1775 2579 2027 1843,3
207,238 1661 871 1156 2764 1661 2564 1533 1669 574 1679 776 490 1491 191 963 1859 1679,3
208,102 1978 173 1212 313 417 2224 2573 102 2392 1487 424 1639 1843 1421 1679 2140 2375 102 1161 1282 1775 619 2838,1
209,1175 2833 1126 2172 2350 2146 2318 132 318 1621 1316 213 1683 2275 1665 630 1355 492 102 1212 571 287 1491 102 2810 1269 2399 1435 974 1193,3
210,1585 1708 1360 293 102 771 630 255 1674 2515 204 935 2510 174 2845 1491 2384 377 394 1022 1320 2247 940 1978 1734 2451,4
211,1252 1219 215 1161 2422 570 2140 1262 494 1954 169 1775 2746 102 2645 176 2187 2532 758 780 788 1447 2158 2536 117 1255,4
212,421 2191 2146 2227 1392 1731 1584 1288 1212 2361 1615 1491 2512 2165 2366 2828 587 1475 940 1978 1844 1212 1355 102 2716,3
213,2345 1245 1245 1576 1267 1723 2250 2524 635 2663 1077 674 601 1360 2192,3
214,758 1804 2546 1360 1804 1552 300 1255 1491 2247 1371 512 370 330 1371 1404 639 635 128 1843,4
215,412 1014 758 1952 2785 1255 2247 1371 512 370 2455 1185 1731 2823 2714 1285 422 2808 974 1193,4
216,2140 2663 1661 1927 1147 1895 570 2140 204 2418 1665 124 444 1243 1586 1062 2031 455 2373 2116 1643 1244,4
217,2263 1533 1996 1161 1223 1775 1987 1491 1404 259 2213 635 128 1843,2
218,1437 2454 1355 210 102 2677 319 2317 1045 1243,2
219,1533 1996 2125 2284 1491 2660 2478 1355 102 319 2646 1862 2764 2297 662 417 1859 1139 537 1533 2195 935 1194,2
220,1139 2155 2422 1629 417 102 204 2455 2019 758 375 2512 1255 1625 726 2224 765 2004 2155 2755,4
221,534 2043 1517 1618 2043 1950 656 601 1360 2764 2456 539 132 1781 1100 2446 940 1194 656 1625 2027,1
222,102 535 2140 2375 102 2606 102 1148 2176 2808 1844 1952 246 2704 2465 2706 1533 1090 537 1680,1
223,2172 2350 102 132 1781 535 534 1669 102 1853 1223 1775 1987 1491 2135 358 320 1898 2828 1169 120,3
224,1681 1225 885 417 2677 102 1682 2192 509 1409 1564 1679 2146 1662 2392 1866 148 1161 2299 1182 1775 1987 1156,2
225,175 295 1625 2774 1491 1203 221 2371 1194 2764 102 771 1491 1275 1965,1
226,192 495 587 1475 2031 455 2509 688 417 221 227 102 2558 2788 1491 2058 2694 1775 1215 1371,3
227,451 1128 681 2558 1245 313 2064 102 1583 102 965 102 1583 102 463,3
228,1442 1723 215 2823 371 417 1223 2558 1554 213 234 2371 1140 1185 1249 1178 2578 619 1843,1
229,1775 438 1175 587 1475 1678 102 1550 2715 1019 842 190 2660 2299 840 2084 2383 412 319,4
230,1245 1245 1576 417 2810 2558 2236 1312 2808 602 418 1491 2274 656 102 1223 1775 1895 2140 2810 822 726 589 238 1981 287,3
231,1804 1360 1437 1491 987 1103 963 2634 1993 1194,3
232,635 949 534 1025 2275 588 2213 1491 1735 302 570 2140 229 997 1902 2164,3
233,2768 2075 283 580 417 512 2275 2275 2180 1465 1885 102 539 126 534 655 893 422 444 1243 2275 228,3
234,692 1866 102 2663 444 1243 1360 2509 570 313 940 1017 535 442 1950 1249 2784 102 2716 2314 215 102 2663,3
235,2345 1245 2763 2437 2677 2275 587 1475 1267 160 313 737 2664 1194 2764 2677 2275 587 1475 1648 1494 221 2094 1544 2622 449 2751 1843,3
236,997 2234 2823 397 1576 2274 1445 1978 571 2339 2509 688 2618 2823 674 1251 2027 1641 1970 2776,1
237,1268 385 1408 670 618 1017 535 1025 2275 120 1007 1655 1978 173 1541 1728 2027 2108 1843,3
238,2114 2639 2810 2532 2141 2823 1042 1680 618 1387 2025 1333 1491 1310 495 102 535 1090 1950 910 1288 1754 509 2784 574 2823,3
239,2564 1533 2051 1156 1126 2784 884 2823 102 2564 1533 780 1042 2351 2764 635 821 2810 2532 974 1064 2209 1996 963 2642,3
240,2202 132 143 178 1491 2399 2293 2027 319 707 2146 1017 1276 630 1642 2213 1491 2504 539 2155 2712 2116 2479 2816,1
241,758 2629 233 798 2094 1491 1437 2493 1875 2626 1255 2322 2322 1268 385 1659 1914 570 987 758 776 1438 2626 1255 1843,1
